,ones,Barrel%+,EV+,LA+,Pull%+,Cent%+,Oppo%+,Soft%+,Hard%+,BB%+,K%+,BABIP+
1,1,1.7133114422834048,1.0563257432800772,0.5690004046944558,97,103,102,65,140,124,51,114
3,1,1.39976425023154,1.0306705245942887,1.5839740995548364,113,102,75,64,125,157,69,106
5,1,1.2429906542056073,1.0038998616178136,1.1687575880210441,89,103,114,68,112,112,74,125
4,1,1.83649069630378,1.0451713003732126,1.237960339943343,93,108,101,72,130,164,104,102
26,1,0.7278774101204007,0.9860527529668303,1.4686361796843386,120,88,83,85,106,114,63,98
11,1,0.8510566641407762,1.0038998616178136,0.8458114123836504,104,96,99,91,102,100,87,109
46,1,1.1646038561926413,1.0172851931060511,1.4763253743423717,114,96,82,93,108,109,89,93
38,1,1.332575566220426,1.034016857466348,0.6535815459328208,102,99,98,91,119,79,106,111
54,1,1.2877831102130166,1.0117079716526187,1.2072035613112102,92,93,124,99,116,69,75,100
7,1,1.4557548202408015,1.0395940789197804,0.5151760420882234,95,117,85,95,125,212,82,100
24,1,1.052622716174118,1.0184006373967376,0.3613921489275598,84,113,109,92,109,117,92,117
14,1,1.5565378462574724,1.029555080303602,1.0380412788344802,100,103,95,81,126,94,108,109
42,1,0.7838679801296624,1.0038998616178136,1.3840550384459736,124,87,78,107,98,126,46,96
30,1,0.8398585501389239,0.9860527529668303,0.9688385269121814,93,94,120,105,92,160,64,102
23,1,1.7021133282815524,0.9938608630016353,1.237960339943343,114,88,94,122,103,60,125,106
10,1,1.1646038561926413,1.0061307501991865,1.1380008093889116,109,95,91,76,120,142,59,98
19,1,0.5375094720889113,0.9849373086761437,1.161068393363011,104,101,90,120,96,176,85,106
80,1,1.2205944262019028,0.9960917515830083,0.9995953055443142,112,103,76,78,107,117,108,100
27,1,1.8028963542982233,1.027324191722229,1.2072035613112102,103,100,95,72,131,123,120,94
6,1,1.0638208301759702,1.0418249675011533,0.4382840955078916,76,119,113,69,129,129,68,124
77,1,1.4109623642333922,0.9983226401643812,1.560906515580737,124,84,82,132,108,113,120,92
87,1,0.19036793803148944,0.9659747557344739,0.8073654390934846,77,115,118,124,71,81,54,105
43,1,1.2765849962111644,1.0262087474315427,0.8765681910157832,97,102,103,74,121,108,110,103
55,1,0.6830849541129914,0.9771291986413385,0.6074463779846218,98,91,116,103,92,96,74,108
69,1,1.231792540203755,1.0250933031408564,0.8458114123836504,106,113,71,79,124,95,99,101
70,1,0.48151890207964965,0.9615129785717281,1.0457304734925132,110,99,85,117,82,136,89,103
20,1,1.0638208301759702,1.0239778588501698,0.9380817482800486,83,98,131,90,116,123,96,109
31,1,0.6046981561000253,0.988283641548203,1.3532982598138408,104,102,91,91,103,152,52,91
16,1,0.8958491201481855,1.0161697488153645,0.8227438284095508,108,99,88,91,117,124,75,101
28,1,1.0414246021722657,1.0228624145594833,0.2691218130311615,86,101,122,94,119,140,99,115
22,1,0.91824534815189,0.9893990858388896,1.2687171185754758,133,87,63,74,112,79,73,97
50,1,1.1310095141870842,1.0139388602339918,0.5843787940105221,87,107,112,107,114,53,84,113
84,1,0.526311358087059,0.9827064200947707,0.7842978551193849,80,101,132,72,93,69,70,105
32,1,1.2541887682074595,0.9815909758040844,1.2148927559692435,104,96,98,128,101,106,86,92
